datetaime,price,market_caps,total_volumes
2024-09-30 06:02:23,5.821,14754233507.883018,290153278.9113619
2024-09-30 07:05:47,5.805,14720059809.22748,283520946.45438397
2024-09-30 08:00:23,5.833,14786361601.893824,279210313.7224546
2024-09-30 09:00:53,5.831,14788729664.362768,271076262.94959134
2024-09-30 10:02:48,5.768,14636227835.012383,277519551.21550834
2024-09-30 11:01:15,5.776,14648292109.179335,287533110.4535893
2024-09-30 12:06:22,5.807,14730829791.151714,288621412.81295276
2024-09-30 13:06:55,5.831,14772858503.858892,270568802.3363199
2024-09-30 14:05:30,5.81,14726106772.254822,280701522.1998293
2024-09-30 15:02:26,5.815,14745066205.909826,263128013.56288227
2024-09-30 16:08:59,5.791,14665321046.112343,280827137.222713
2024-09-30 17:04:25,5.802,14709529575.606934,224031884.8463255
2024-09-30 18:03:42,5.835,14798048477.06422,180814931.37512246
2024-09-30 19:05:02,5.841,14810726092.329493,273953361.6062661
2024-09-30 20:01:29,5.853,14840861808.746399,287202501.6388004
2024-09-30 21:03:02,5.836,14767460599.406748,289090259.07464236
2024-09-30 22:04:56,5.829,14717099460.908339,280831536.03270125
2024-09-30 23:06:45,5.783,14608496484.336597,311171544.9895095
2024-10-01 00:05:38,5.707,14450668473.627695,315721321.0248501
2024-10-01 01:06:16,5.738,14483396455.627098,312752820.1887842
2024-10-01 02:05:44,5.735,14489656089.112524,326494441.11993814
2024-10-01 03:03:02,5.762,14541915641.705261,314836249.4892669
2024-10-01 04:01:23,5.801,14648609629.310616,317767930.29441154
2024-10-01 05:01:01,5.813,14676647772.062304,319176921.5058363
2024-10-01 06:05:22,5.79,14615943247.081768,320111628.3036039
2024-10-01 07:10:05,5.808,14688826063.02282,313957301.17610055
2024-10-01 08:02:06,5.812,14680483244.91757,316806118.57305115
2024-10-01 09:02:48,5.802,14654277030.745686,319822508.23477
2024-10-01 10:08:21,5.834,14734551378.586185,298129542.2684359
2024-10-01 11:04:07,5.834,14736741708.642368,284071135.22005546
2024-10-01 12:07:41,5.808,14660208921.512047,304345881.64820117
2024-10-01 13:03:42,5.8,14650213678.96347,302917809.4271477
2024-10-01 14:04:28,5.7,14352749543.531042,317545687.13840413
2024-10-01 15:02:58,5.548,14017273297.433949,357587716.16656166
2024-10-01 16:05:40,5.47,13850840247.918823,413783774.81597227
2024-10-01 17:06:41,5.451,13791438515.632103,437239754.38550097
2024-10-01 18:00:45,5.417,13628175523.553768,515596746.7609549
2024-10-01 19:13:31,5.352,13522909532.193007,500128418.1276789
2024-10-01 20:08:13,5.351,13544470344.997887,503895933.40125287
2024-10-01 21:12:42,5.312,13440887533.921103,535333875.82045835
2024-10-01 22:08:30,5.347,13545099931.235548,542730631.3952118
2024-10-01 23:12:35,5.376,13593402880.301453,540160357.0284129
2024-10-02 00:10:51,5.37,13580452292.711117,531676806.0068667
2024-10-02 01:03:44,5.398,13648278209.254484,534552305.7576829
2024-10-02 02:03:16,5.437,13749267682.413551,540441509.5101801
2024-10-02 03:12:21,5.449,13782769952.248951,537585927.1330099
2024-10-02 04:11:32,5.432,13754378743.67008,531769459.0714428
2024-10-02 05:11:45,5.44,13744654429.43611,532141205.7105199
2024-10-02 06:04:18,5.445,13759382614.410664,521490337.8671725
2024-10-02 07:11:59,5.485,13871412175.513098,539215271.6608788
2024-10-02 08:07:16,5.479,13857227144.642218,524993731.429241
2024-10-02 09:10:35,5.498,13882801253.492115,553304889.4243671
2024-10-02 10:02:59,5.405,13681383760.716055,548573371.6568456
2024-10-02 11:03:40,5.404,13678917965.643328,543093581.3336626
2024-10-02 12:07:24,5.418,13715565878.045883,577948554.2080798
2024-10-02 13:12:04,5.373,13560444876.304647,571484997.3601717
2024-10-02 14:08:52,5.413,13695290681.143927,571423602.8527279
2024-10-02 15:13:37,5.376,13592114939.852388,511044685.5403049
2024-10-02 16:13:33,5.447,13792162859.703478,485732238.445986
2024-10-02 17:04:39,5.42,13684069316.46833,458084074.71693957
2024-10-02 18:12:49,5.423,13822922220.576536,398820841.25382024
2024-10-02 19:06:56,5.316,13483065193.784256,390310651.96052957
2024-10-02 20:13:54,5.324,13468637820.061117,392026885.5419617
2024-10-02 21:02:44,5.364,13601709782.157604,380362296.2201462
2024-10-02 22:09:29,5.328,13522447086.124605,373089653.8298941
2024-10-02 23:10:38,5.347,13542875391.534388,374636294.9169418
2024-10-03 00:04:11,5.296,13422808588.938519,377372820.389674
2024-10-03 01:07:44,5.254,13307073616.64138,386338943.9588901
2024-10-03 02:12:35,5.255,13281300854.246662,398536790.8335058
2024-10-03 03:01:37,5.259,13332516729.02558,403081570.55562377
2024-10-03 04:08:23,5.312,13448782715.044083,418053359.973962
2024-10-03 05:08:45,5.291,13408113458.50388,418373053.7211661
2024-10-03 06:10:58,5.292,13385241377.589622,418058055.3024821
2024-10-03 07:07:16,5.308,13432333857.214003,411326243.18505245
2024-10-03 08:09:47,5.248,13294259163.131962,413364175.14527005
2024-10-03 09:06:58,5.157,13082440988.06177,430484660.2502359
2024-10-03 10:11:58,5.233,13235637096.417923,437165751.83889663
2024-10-03 11:05:29,5.254,13287268691.738024,439105854.06621486
2024-10-03 12:06:31,5.212,13254705890.23909,424452548.76115984
2024-10-03 13:09:12,5.224,13229072700.67566,417228900.37210816
2024-10-03 14:10:17,5.278,13360980143.942717,429062733.4866834
2024-10-03 15:11:59,5.237,13256090993.33476,423989412.3944117
